Country,"Respect and protection of fundamental freedoms","Supportive legal and regulatory framework","Accessible and sustainable resources","Open and responsive State","Supportive public culture and discourses on civil society","Access to a secure digital environment","Last Modified",Permalink
Senegal,2.9,3.3,2.0,2.4,2.7,3.0,2026-05-13,https://eusee.hivos.org/document/senegal-rapport-national/
"Sierra Leone",2.9,2.3,2.3,3,2.7,3,2025-08-20,https://eusee.hivos.org/document/sierra-leone-country-focus-report/
Somalia,2.1,2.3,2.0,2.2,1.7,3.0,2025-11-06,https://eusee.hivos.org/document/somalia-country-focus-report/
"South Africa",3.4,3.7,2.5,3.0,2.7,3.0,2026-07-09,https://eusee.hivos.org/document/south-africa-country-focus-report/
"Sri Lanka",2.6,2.0,2.3,2.4,2.7,2.7,2026-03-11,https://eusee.hivos.org/document/sri-lanka-country-focus-report/
Sudan,1.3,1.3,2.0,1.4,1.7,1,2026-03-17,https://eusee.hivos.org/document/sudan-country-focus-report/
Tajikistan,1.4,2.0,2.3,2.0,1.3,2.0,2026-01-26,https://eusee.hivos.org/document/tajikistan-country-focus-report/
Tanzania,2.0,2.0,2.0,2.6,3.0,2.3,2026-02-18,https://eusee.hivos.org/document/tanzania-country-focus-report/
Thailand,2.5,1.7,2.3,2.4,2.7,2.3,2025-09-19,https://eusee.hivos.org/document/thailand-country-focus-report/
"The Gambia",3.0,3.0,2.7,2.8,2.7,2.0,2025-11-26,https://eusee.hivos.org/document/the-gambia-country-focus-report/
"Timor Leste",3.8,3.7,3.5,2.8,3.0,2.8,2025-11-26,https://eusee.hivos.org/document/timor-leste-country-focus-report/
"Trinidad and Tobago",4.4,3.3,2.0,2.8,2.3,3.3,2026-03-03,https://eusee.hivos.org/document/trinidad-tobago-country-focus-report/
Tunisia,2.3,2.0,2.0,2.0,2.0,2.3,2026-02-20,https://eusee.hivos.org/document/tunisia-rapport-national/
Uganda,2.2,2.3,2.5,2.8,2,2,2025-10-29,https://eusee.hivos.org/document/uganda-country-focus-report/
Venezuela,1.6,1.7,1.8,1.4,1.7,2.0,2026-03-03,https://eusee.hivos.org/document/venezuela-informe-enfoque-pais/
Zambia,3.1,2.7,2.8,2.8,3.0,3.7,2025-08-25,https://eusee.hivos.org/document/zambia-country-focus-report/
Zimbabwe,2.1,1.0,2.0,2.4,1.7,2.0,2026-02-09,https://eusee.hivos.org/document/zimbabwe-country-focus-report/
